OrgCode,OrgName,AccountType,AccountCode,AccountDesc,PostedDate,Source,DocumentType,DocumentNumber,DocumentDate,FiscalPeriod,Description,CustomerCode,CustomerName,PersonName,Reference,ProjectOrgCode,ProjectCode,ProjectTitle,Quantity,BeginningBalanceLC,DebitLC,CreditLC,EndingBalanceLC,AccountTypeOrderBy,ArrangeBy,LocalCurrency
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,,,,,,,Beginning Balance,,,,,,,,,18103618.83,,,18103618.83,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,8/31/2020,CP,Customer Payment,0000000100,8/31/2020,FY20-11,,CUST-1-DOD,Customer 1,,,,,,,0.00,129207.69,0.00,129207.69,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,8/15/2020,JE,Journal Entry,0000000157,8/31/2020,FY20-11,,,,,Payroll Entry,,,,,0.00,0.00,56347.50,-56347.50,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,8/31/2020,JE,Journal Entry,0000000158,8/31/2020,FY20-11,,,,,Payroll Entry,,,,,0.00,0.00,56347.50,-56347.50,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,8/31/2020,VP,Vendor Payment,0000000279,8/31/2020,FY20-11,,E-CUSER4,Charlie User,,,,,,,0.00,0.00,7205.00,-7205.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,8/31/2020,VP,Vendor Payment,0000000280,8/31/2020,FY20-11,,E-FCONTROLLER,Frank Controller,,,,,,,0.00,0.00,1247.22,-1247.22,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,8/31/2020,VP,Vendor Payment,0000000281,8/31/2020,FY20-11,,E-GWASHINGTON,George Washington,,,,,,,0.00,0.00,567.12,-567.12,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,8/31/2020,VP,Vendor Payment,0000000282,8/31/2020,FY20-11,,V-CIGNA,Cigna Healthcare,,,,,,,0.00,0.00,2700.00,-2700.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,8/31/2020,VP,Vendor Payment,0000000283,8/31/2020,FY20-11,,V-DUN&BRADSTREET,Dun & Bradstreet Credibility Corp,,,,,,,0.00,0.00,150.00,-150.00,1,MYCO - Myco,USD
MYCO,Myco,ASSET,10.01.01,Operating Bank Account,8/31/2020,VP,Vendor Payment,0000000284,8/31/2020,FY20-11,,V-HIRENOW,Hire Now,,,,,,,0.00,0.00,15500.00,-15500.00,1,MYCO - Myco,USD
